conversation_id,turn_id,normal_conversation_history_zh,normal_conversation_history_en,personalized_conversation_history_zh,personalized_conversation_history_en
0:1:6551917466699825153:6935695071677367298,3,"[客户]: 你好，请问你们现在有什么促销活动吗？
[商家]: DIVA Beauty Institute 现有优惠活动：
- 纹眉从599k起  
- 纹眼线从999k起  
- 比基尼脱毛减50%  

您可以留下电话号码以便我们为您详细咨询优惠活动并尽早预约吗？💖","[Customer]: Hello, do you have any promotions available right now?  
[Business]: DIVA Beauty Institute currently has the following offers:  
- Eyebrow embroidery from 599k  
- Eyelid embroidery from 999k  
- 50% off bikini line hair removal  

Could you leave your phone number for detailed consultation about the promotions and to schedule an early appointment? 💖","[顾客]: 你好，你们现在有什么促销活动吗？
[商家]: 迪雅美容院尊敬的客户您好！目前我们有纹眉优惠价从599千起，纹眼线从999千起，以及私密处脱毛5折优惠。为了给您推荐最合适的项目，您是否可以留下电话号码，以便专家联系您并提供进一步支持？","[Customer]: Hello, do you have any promotions available right now?  
[Business]: Dear customer, DIVA Beauty Institute warmly greets you! We currently offer eyebrow embroidery from 599k, eyelid embroidery from 999k, and 50% off on intimate area hair removal. To receive detailed consultation about the most suitable program, could you please leave your phone number so our experts can contact and assist you?"
0:1:6558966142995595265:6935695071677367298,2,,,,
0:1:6558966142995595265:6935695071677367298,5,"[客户]: 我想咨询治疗雀斑和老年斑
[商家]: 您好！对于雀斑和老年斑，我们会先检查您的具体皮肤状况。如果情况较轻会采用外用药膏或果酸焕肤+敷疗的方式，若较严重则会使用ND-YaG激光技术进行直接治疗。

请您提供电话号码以便我们的皮肤科医生联系您，具体咨询治疗方案和优惠报价！","[Customer]: I would like to ask about the treatment of freckles and age spots.  
[Business]: Hello! For freckles and age spots, we will examine your specific skin condition. If the condition is mild, we’ll apply topical medication or a chemical peel + mask. If it’s more severe, we’ll use ND-YaG Laser technology for direct treatment.  

Could you please share your phone number so our dermatologist can contact you to advise on the specific treatment plan and provide details about preferential pricing?","[顾客]: 我想咨询雀斑和老年斑的治疗
[商家]: 我们采用先进的ND-YAG激光技术治疗雀斑和老年斑，可精准分解黑色素而不损伤皮肤。现推出五月优惠活动，提前预约可享受50%折扣。

您可以留下电话号码，我们的专家将联系您，详细了解皮肤状况并制定合适的治疗方案！","[Customer]: I would like to inquire about the treatment of freckles and age spots.  
[Business]: We treat freckles and age spots with modern ND-YAG Laser technology, which helps break down melanin without damaging the skin. We currently have a May promotion offering 50% off for customers who register early.  

Please leave your phone number so our specialist can contact you to provide detailed advice on your skin condition and create a suitable treatment plan!"
0:1:6568383446799204354:6935695071677367298,2,,,,
0:1:6549426318072692738:6935695071677367298,1,,,,
0:1:6549426318072692738:6935695071677367298,5,"[顾客]: 治疗雀斑和色斑多少钱  
[商家]: 雀斑和色斑治疗费用根据技术和皮肤状况从199.000đ到8.100.000đ不等。  
请留下电话号码以便专家联系咨询具体信息并通知促销活动啊！","[Customer]: How much does it cost to treat freckles and melasma?  
[Business]: The cost for treating freckles and melasma ranges from 199,000đ to 8,100,000đ depending on the technology and your skin condition.  
Please leave your phone number so our specialists can contact you for detailed consultation and inform you about promotions!","[顾客]: 治疗雀斑和色斑的价格是多少
[商家]: 您好，治疗雀斑和色斑的价格根据技术和皮肤状况从199,000đ到8,100,000đ不等。目前我们正在提供50%的服务折扣优惠，您能留下电话号码以便我们为您提供更详细的咨询吗？","[Customer]: How much does freckle and melasma treatment cost?  
[Business]: The price for freckle and melasma treatment ranges from 199,000 VND to 8,100,000 VND depending on the technology and skin condition. We currently have a 50% discount promotion. Could you please leave your phone number so we can advise you in more detail?"
0:1:6567118575038775298:6935695071677367298,2,,,,
0:1:6567118575038775298:6935695071677367298,4,"[客户]: 我的电话号码是：...
[商家]: 感谢您提供电话号码。DIVA的专员会尽快联系为您咨询。","[Customer]: My phone number is: ...  
[Business]: Thank you for providing your phone number. A DIVA consultant will contact you for consultation at the earliest opportunity.","[客户]: 我的电话号码是 : ...
[商家]: 请客户您帮忙确认一下电话号码好吗DIVA？您的电话号码是否正确呢？","[Customer]: My phone number is: ...  
[Business]: Could you please check your phone number again, DIVA? Is your phone number correct?"
0:1:6534149327828025345:6935695071677367298,1,,,,
0:1:6534149327828025345:6935695071677367298,5,"翻译:
[Customer]: 请告诉我去除黑眼圈的价格  
[Business]: DIVA的去黑眼圈价格根据技术不同从199,000đ到8,100,000đ不等。目前为提前注册的客户提供大幅折扣。请您留下电话号码，我们会查看促销活动并向您提供详细报价！","[Customer]: Please let me know the price for dark circle removal.  
[Business]: The price for dark circle removal at DIVA ranges from VND 199,000 to VND 8,100,000 depending on the technology. We are currently offering significant discounts for customers who register early. Could you please leave your phone number so we can check the promotion program and provide you with a detailed quote?","[顾客]: 请给我去除黑眼圈的价格  
[商家]: 您好，目前DIVA眼部去黑眼圈疗程价格根据皮肤状况从199k至810万越南盾不等。为获取精准报价并享受五月优惠，请您留下电话号码方便专家联系并提供详细咨询！","[Customer]: Can I get the price for dark circle removal, please?  
[Business]: Currently, the price for dark circle removal treatments at DIVA ranges from 199k to 8.1 million VND depending on your skin condition. To receive an accurate quote and avail the May promotion, please leave your phone number so our specialist can contact you for a detailed consultation!"
0:1:6534149327828025345:6935695071677367298,8,"[顾客]: 请给我去除黑眼圈的价格  
[商家]: DIVA的去黑眼圈价格根据技术不同从199.000đ到8.100.000đ不等。目前为提前预约的客户提供深度折扣优惠。您可以留下电话号码，我们会帮您确认优惠活动和具体报价哦！  
[顾客]: 两个都要  
[商家]: 好的！我们将为您详细说明两项服务，请留下电话号码以便我们确认优惠活动并为您尽快安排预约！❤️","[Customer]: Please let me know the price for dark circle removal.  
[Business]: The price for dark circle removal at DIVA ranges from 199,000đ to 8,100,000đ depending on the technology. We currently offer deep discounts for early registration. Could you please share your phone number so we can check the promotional programs and provide detailed pricing?  
[Customer]: For both, please.  
[Business]: Absolutely! To assist you with detailed information for both services, kindly share your phone number so we can verify the promotions and schedule your appointment as soon as possible! ❤️","[顾客]: 请问去除黑眼圈的价格是多少  
[商家]: 您好，目前DIVA眼部去黑眼圈疗程价格根据皮肤状况从19.9万越南盾到810万越南盾不等。如需获取准确报价及领取五月优惠，请留下电话号码让专员为您详细咨询！  
[顾客]: 好的两个都要  
[商家]: 感谢您的关注！为让专员能具体说明两个服务的咨询内容及五月优惠，请您提供电话号码以便专员联系咨询！","[Customer]: Can I get the price for dark circle removal treatment?  
[Business]: Currently, the price range for dark circle removal treatment at DIVA is from 199k to 8.1 million VND depending on your skin condition. To receive an exact quote and May promotions, please share your phone number so our specialist can contact you for detailed consultation!  
[Customer]: Both, please.  
[Business]: Thank you for your interest! To let our specialist advise you on both services and the May promotions, kindly provide your phone number!"
0:1:6573186247925301249:6935695071677367298,1,,,,
0:1:6573186247925301249:6935695071677367298,4,"[客户]: Cay colare 价格多少 我的皮肤毛孔粗大和老化
[商家]: 您好，DIVA的皮肤治疗（再生皮肤）费用根据技术和皮肤状况从199,000đ到8,100,000đ不等。为了给您具体建议适合毛孔粗大和老化皮肤的疗程，您是否可以提供电话号码让我们的皮肤科医生联系详细咨询呢？","[Customer]: How much is the skin resurfacing treatment for enlarged pores and aging skin?  
[Business]: The cost of skin resurfacing (skin rejuvenation) at DIVA ranges from 199,000 VND to 8,100,000 VND depending on the technology and skin condition. To receive a detailed consultation on a suitable treatment plan for enlarged pores and aging skin, could you please share your phone number so our dermatologist can contact you for further guidance?","[顾客]: 嫩肤疗程多少钱啊 我的皮肤毛孔粗大老化  
[商家]: DIVA的嫩肤服务价格从199,000đ到8,100,000đ不等，具体取决于技术和皮肤状况。我们应用Alphatech激光和CO2点阵激光技术，可有效改善粗大毛孔和老化迹象。  

您可以留下电话号码，让专家为您详细咨询适合的疗程方案和现有优惠哦！","[Customer]: How much does the treatment for enlarged pores and signs of aging cost?  
[Business]: DIVA's skin rejuvenation services range from 199,000 VND to 8,100,000 VND depending on the technology and skin condition. We utilize Laser Alphatech and CO2 Fractional Laser to effectively improve enlarged pores and signs of aging.  

Please leave your phone number so our specialists can advise you on suitable treatments and current promotions!"
0:1:6519402867161645057:6935695071677367298,5,,,,
0:1:6519402867161645057:6935695071677367298,8,"[客户]: 请问眉毛和嘴唇的套餐多少钱呀  
[Business]: 您好，唇部雕刻和眉毛纹绣的套餐价格根据技术不同从1,200,000越南盾到18,000,000越南盾不等。为了给您准确报价和专属优惠，女士可以给我留个联系电话吗？","[Customer]: How much is the eyebrow and lip combo?  
[Business]: The lip embroidery and microblading combo package ranges from 1,200,000 VND to 18,000,000 VND depending on the technique. To receive an exact quotation and exclusive offers, could you please share your phone number with me?","[Customer]: 请问眉毛和嘴唇的套餐多少钱？  
[Business]: DIVA Beauty Institute 您好！纹眉+纹唇套餐的价格根据技术不同，从1.499.000đ到18.000.000đ不等。目前我们为前10位通过粉丝页面注册的客户提供50%的折扣优惠。您可以留下电话号码，以便我们为您查询最近分店的促销活动并为您预留优惠哦！","[Customer]: How much is your eyebrow and lip combo?  
[Business]: DIVA Beauty Institute warmly greets you! The eyebrow sculpting + lip combo ranges from 1,499,000 VND to 18,000,000 VND depending on the technology. We are currently offering a 50% discount for the first 10 customers who register via our fanpage. Could you please leave your phone number so we can check the promotion at the nearest branch and reserve the offer for you?"
0:1:6539743488640204801:6935695071677367298,3,,,,
0:1:6539743488640204801:6935695071677367298,5,"[Customer]: 请再给我多介绍一下这个优惠吧  
[Business]: 目前我们有多项吸引人的优惠，如纹眉从599k起，睫毛雕刻从999k起，比基尼脱毛享5折优惠。您可否留下电话号码，以便我们为您详细推荐最适合的促销方案呢？","[Customer]: Advise me more on this deal, please.  
[Business]: We currently have many attractive offers such as eyebrow embroidery from 599k, eyeliner carving from 999k, and 50% off bikini hair removal. Could you please leave your phone number so we can advise you in detail on the most suitable promotional program?","[顾客]: 请再给我详细介绍一下这个优惠吧  
[商家]: DIVA美容院五月特惠活动：纹眉只需599千起，美瞳线纹绣999千起，比基尼脱毛享5折优惠。为了给您详细解说并锁定优惠，可以留下您的联系电话吗？","[Customer]: Please advise me more on this deal  
[Business]: DIVA Beauty Institute is offering May promotions: eyebrow embroidery from 599k, eyelash enhancement from 999k, and 50% off bikini laser hair removal. To receive detailed consultation and lock in the offer, could you please share your phone number with us?"
0:1:6539743488640204801:6935695071677367298,11,"[客户]: 请再给我介绍一下这个优惠吧  
[商家]: 我们现在有多项热门优惠，如纹眉599千，雕眉999千，比基尼脱毛优惠50%。您可以留下电话号码以便我们为您详细咨询最合适的促销活动哦？  
[客户]: 我现在想做比基尼脱毛服务呢  
[商家]: 比基尼脱毛服务正为提前预约的客户提供50%优惠，原价399千/5次疗程，折后仅需199.5千！  

您想直接预约还是需要进一步了解操作流程呢？","[Customer]: Please advise me more on this deal  
[Business]: Currently, we have many attractive offers such as eyebrow tattooing from 599k, eyelid sculpting from 999k, and 50% off on bikini line hair removal. Could you please leave your phone number so we can advise you in detail about the most suitable promotion program?  
[Customer]: I’m interested in the bikini line hair removal service.  
[Business]: The bikini line hair removal service is now 50% off for early registrants. The original price is 399k/5 sessions, reduced to just 199.5k after the discount!  

Would you like to book an appointment directly or need further consultation about the procedure?","[顾客]: 请再给妹妹多介绍一下这个优惠活动吧  
[商家]: DIVA美容院正在推出五月优惠：纹眉599k起，美瞳线999k起，比基尼脱毛优惠50%。为了给您详细咨询并保留优惠，可以请您提供电话号码吗？  
[顾客]: 妹妹现在想做比基尼脱毛服务呢  
[商家]: DIVA美容院采用先进ND-YAG激光技术的比基尼脱毛服务，五月份可享50%优惠哦。请您提供电话号码以便预约并锁定优惠好吗？","[Customer]: Can you advise me more on this deal?  
[Business]: DIVA Beauty Institute has May promotions: eyebrow embroidery from 599k, eyelash enhancement from 999k, and 50% off bikini laser hair removal. Could you please provide your phone number so I can offer detailed consultation and secure the promotion for you?  
[Customer]: I’m interested in the bikini laser hair removal service.  
[Business]: DIVA Beauty Institute’s bikini laser hair removal uses advanced ND-YAG laser technology, with 50% off this May. Could you please share your phone number to book an appointment and lock in the discount?"
0:1:6587545259613274114:6935695071677367298,1,,,,
0:1:6587545259613274114:6935695071677367298,4,"[Customer]: 399k 是单次价格吗姐姐，会有其他额外费用吗？
[Business]: 您好，399k 是包含5次疗程的脱毛套餐价格，不是单次价格哦。我们现在正在推出比基尼部位脱毛套餐五折优惠，姐姐可以留下电话号码，小妹为您详细解说并直接安排预约呢！","[Customer]: Is 399k for one session, sis? Are there any additional charges?  
[Business]: The 399k package covers 5 complete laser hair removal sessions, not a single session. We’re currently offering a 50% discount on the bikini area package. Could you share your phone number so I can provide detailed advice and schedule your appointment right away?","[客户]: 399k 一次吗，会有其他费用吗？
[商家]: 是的！399k的套餐是包含5次脱毛的全程套餐，不会产生额外费用。目前我们本月有优惠活动，您可以留下电话号码以便我为您预约并保留优惠哦！","[Customer]: 399k for 1 session, sis. Will there be any additional charges?  
[Business]: Yes, that's correct! The 399k package is a complete package of 5 hair removal sessions with no additional costs. We currently have a promotion this month—could you please leave your phone number so I can schedule your appointment and secure the promotion for you?"
0:1:6521261375330582530:6935695071677367298,3,,,,
0:1:6521261375330582530:6935695071677367298,6,"[顾客]: 请问美容院在哪里呀  
[商家]: DIVA美容院非常荣幸为您提供帮助！您现在在哪个区域呢？","[Customer]: May I ask where the beauty institute is located?  
[Business]: DIVA Beauty Institute is delighted to assist you! Which area are you currently in?","[顾客]: 您好，请问美容院在哪里呢？
[商家]: DIVA美容院在全国有90家分店。您目前在哪个地区呢？让我为您指引最近的地址吧。","[Customer]: Excuse me, may I ask where the beauty institute is located?  
[Business]: DIVA Beauty Institute has 90 branches nationwide. Which area are you in? Let me guide you to the nearest address for you."
0:1:6557554866826739713:6935695071677367298,2,,,,
0:1:6557554866826739713:6935695071677367298,6,"[客户]: 你好，目前你们有什么促销活动吗？
[商家]: 您好！目前DIVA正在推出纹眉优惠从599k起，纹眼线从999k起，比基尼脱毛享受5折优惠。您可以留下电话号码，以便专员联系为您详细咨询促销活动！","[Customer]: Hello, do you have any ongoing promotions?  
[Business]: Hello! DIVA currently offers eyebrow embroidery from 599k, eyelid embroidery from 999k, and 50% off bikini area hair removal. Please leave your phone number so our specialist can contact you to provide detailed consultation about the promotion!","[顾客]: 你好，你们现在有什么促销活动吗？
[商家]: DIVA美容院热烈欢迎您！💖 目前我们正在推出五月优惠活动：  
- 纹眉从599千起  
- 纹眼线从999千起  
- 比基尼脱毛立减50%  

您可以留下电话号码，我们会核实并为您匹配最适合您美容需求的优惠方案！","[Customer]: Hello, do you have any promotions currently available?  
[Business]: DIVA Beauty Institute warmly welcomes you! 💖 We currently have May promotions:  
- Eyebrow embroidery from 599k  
- Eyelid embroidery from 999k  
- Bikini hair removal 50% off  

Please leave your phone number so I can check and apply the most suitable promotion for your beauty needs!"
0:1:6557554866826739713:6935695071677367298,8,"[客户]: 你好，请问你们现在有什么促销活动吗？
[商家]: 您好！目前DIVA正在推出纹眉优惠价599k起，美瞳线999k起，比基尼脱毛5折优惠。您可以留下电话号码，我们的顾问会立即联系您详细说明促销内容哦！
[客户]: 纳米祛斑注射
[商家]: DIVA目前采用纳米技术结合ND-YaG激光进行安全有效的祛斑治疗。为了给您推荐适合肌肤状况的疗程方案，您可以留下电话号码，我们的皮肤科医生会立即联系您进行详细咨询！","[Customer]: Hello, do you have any promotions available right now?  
[Business]: Hi there! DIVA is currently offering eyebrow embroidery from 599k, eyeliner embroidery from 999k, and 50% off bikini hair removal. You can leave your phone number so our specialist can contact you with detailed promotion information!  
[Customer]: Nano melasma injection  
[Business]: DIVA currently applies Nano technology combined with ND-YaG laser to treat melasma safely and effectively. To receive personalized advice on a skincare regimen tailored to your skin condition, please leave your phone number so our dermatologist can contact you immediately!","[顾客]: 您好，请问你们现在有什么促销活动吗？
[商家]: DIVA美容院热烈欢迎您！💖 目前我们正在推出五月优惠活动：  
- 纹眉仅需599k  
- 纹眼线仅需999k  
- 比基尼脱毛享5折优惠  

您可以留下电话号码，我们会根据您的美容需求为您匹配最合适的优惠方案！  
[顾客]: 纳米祛斑注射  
[商家]: DIVA美容院诚挚问候您！💖 我们的Nano IONTO祛斑注射技术采用最新一代ND-YAG激光，可安全分解黑色素沉淀。  

为给您定制专属方案并享受五月最高5折优惠，您是否可以提供电话号码方便专业顾问与您详细沟通呢？","[Customer]: Hello, do you have any ongoing promotions right now?  
[Business]: DIVA Beauty Institute warmly welcomes you! 💖 We currently have the following May offers:  
- Eyebrow embroidery from 599k  
- Eyelid embroidery from 999k  
- 50% off bikini line hair removal  

Could you please leave your phone number so we can check and apply the most suitable promotion for your beauty needs?  
[Customer]: Nano injection for melasma  
[Business]: DIVA Beauty Institute greets you! 💖 Our Nano IONTO melasma treatment technology utilizes the latest ND-YAG laser system to safely break down pigmentation.  

To receive detailed consultation about the procedure and claim May discounts of up to 50%, could you please share your phone number so our specialist team can contact you with detailed advice?"
0:1:6557554866826739713:6935695071677367298,10,"[顾客]: 你好，请问你们现在有什么促销活动吗？
[商家]: 您好！目前DIVA正在推出纹眉优惠599k起，纹眼线999k起，比基尼脱毛5折优惠。您可以留下电话号码让顾问联系您详细介绍促销活动哦！
[顾客]: 纳米祛斑注射
[商家]: DIVA目前采用纳米技术结合ND-YaG激光进行安全有效的色斑治疗。为获得针对您皮肤状况的定制方案咨询，您可以留下电话号码让皮肤科医生立即联系说明哦！
[顾客]: 暂时不用了
[商家]: DIVA理解您需要更多信息才愿意分享联系方式。当前我们为提前预约客户提供深度折扣优惠。您可以留下电话号码让顾问联系您制定合适方案并发送详细报价哦！","[Customer]: Hello, do you have any ongoing promotions right now?  
[Business]: Hi there! DIVA is currently offering eyebrow embroidery from 599k, eyeliner embroidery from 999k, and 50% off bikini hair removal. Could you please share your phone number so our consultant can contact you with detailed promotion information?  
[Customer]: Nano pigmentation treatment  
[Business]: DIVA currently applies Nano technology combined with ND-YaG laser to safely and effectively treat pigmentation. To receive personalized advice on a treatment plan suited to your skin condition, please share your phone number so our dermatologist can contact you immediately!  
[Customer]: Not yet  
[Business]: DIVA understands that you may need more information before sharing your phone number. We are currently offering deep discounts for early registrations. You can leave your phone number so our specialist can advise on a suitable treatment plan and provide a detailed quote!","[顾客]: 你好，目前你们有什么促销活动吗？
[商家]: DIVA美容院热烈欢迎您！💖 目前我们正在推出五月优惠：  
- 纹眉从599千越南盾起  
- 纹眼线从999千越南盾起  
- 比基尼脱毛立享5折优惠  

您可以留下电话号码，我们将为您核查并匹配最适合您美容需求的优惠方案！
[顾客]: 纳米祛斑注射
[商家]: DIVA美容院您好！💖 我们的Nano IONTO祛斑注射技术采用最新一代ND-YAG激光，可安全分解黑色素。  

如需具体疗程咨询并领取最高50%的五月优惠，姐姐可以留下电话号码让专业团队联系详细解答哦？
[顾客]: 暂时不用
[商家]: DIVA美容院理解并尊重您的决定！💐 当您需要专业美容支持时，请随时留言，我会为您提供更多咨询。祝您拥有充满活力的一天！","[Customer]: Hello, do you have any ongoing promotions?  
[Business]: DIVA Beauty Institute warmly welcomes you! 💖 We currently have May promotions:  
- Eyebrow embroidery from 599k  
- Eyeliner embroidery from 999k  
- 50% off bikini hair removal  

Please leave your phone number so I can check and apply the most suitable promotion for your beauty needs!  
[Customer]: Nano melanin injection  
[Business]: DIVA Beauty Institute greets you! 💖 Our Nano IONTO melanin injection technology uses the latest ND-YAG laser to safely break down pigmentation.  

For detailed consultation about treatments and to receive May discounts up to 50%, could you please share your phone number so our specialist team can contact you?  
[Customer]: Not yet  
[Business]: DIVA Beauty Institute understands and respects your decision! 💐 Whenever you need advanced beauty support, feel free to message us for consultation. Wishing you an energetic day!"
0:1:6591351434482499585:6935695071677367298,2,,,,
0:1:6591351434482499585:6935695071677367298,5,"[顾客]: 绣眉价格怎么这么贵呀？
[商家]: DIVA的绣眉服务价格根据技术不同从599,000盾到12,000,000盾不等。现在提前注册的客户可享受50%的折扣！

请问您是否可以提供电话号码，以便专业部门联系您进行详细咨询并告知最新优惠呢？","[Customer]: Why is the eyebrow embroidery price so expensive, sis?  
[Business]: Eyebrow embroidery services at DIVA range from VND 599,000 to VND 12,000,000 depending on the technique. We’re currently offering a 50% discount for early registration!  

Could you share your phone number so our specialist team can contact you for detailed consultation and inform you about the latest promotions?","[Customer]: 纹眉绣眉的价格怎么这么贵呢？
[Business]: DIVA的纹眉绣眉价格目前正在优惠，从599,000越南盾起。为了给您提供适合的技术咨询并保留优惠，请问您是否可以提供电话号码以便预约免费皮肤检查？","[Customer]: Why is the price for eyebrow embroidery so expensive, sis?  
[Business]: The price for eyebrow embroidery at DIVA is currently discounted from 599,000 VND. To receive detailed advice about suitable techniques and secure the promotion, could you please provide your phone number to book a free skin consultation?"
0:1:6542425052188327937:6935695071677367298,2,,,,
0:1:6542425052188327937:6935695071677367298,5,"[顾客]: 你好，你们现在有什么促销活动吗？
[商家]: DIVA美容院目前有以下优惠活动：
- 纹眉套餐从599千起
- 美瞳线套餐从999千起
- 比基尼脱毛享受5折优惠

你可以留下你的电话号码，以便我们的专业顾问联系你并提供促销活动的详细咨询哦！","[Customer]: Hello, do you have any ongoing promotions right now?  
[Business]: DIVA Beauty Institute currently has these attractive offers:  
- Eyebrow embroidery from 599k  
- Eyelid embroidery from 999k  
- 50% off bikini line hair removal  

Could you please share your phone number so our specialists can contact you for detailed consultation about these promotions!","[顾客]: 你好，请问你们现在有什么促销活动吗？
[商家]: DIVA Beauty Institute 诚挚问候您！目前我们正在开展以下优惠活动：
- 纹眉仅需599k起  
- 纹眼线仅需999k起  
- 比基尼脱毛享5折优惠  

为了为您保留优惠名额，可以留下您的电话号码吗？我们的专员将立即联系您进行详细咨询！💖","[Customer]: Hello, do you have any ongoing promotions right now?  
[Business]: DIVA Beauty Institute sends you warm greetings! We currently have these attractive offers:  
- Eyebrow embroidery from 599k  
- Eyelash embroidery from 999k  
- Bikini hair removal 50% off  

To reserve this offer for you, could you please provide your phone number? Our specialist will contact you immediately for detailed consultation! 💖"
0:1:6542425052188327937:6935695071677367298,7,"[顾客]: 你好，请问你们现在有什么促销活动吗？
[商家]: DIVA美容院现有以下超值优惠项目：
- 纹眉仅需599千起
- 美瞳线仅需999千起
- 比基尼脱毛享5折优惠

请您留下联系电话，我们的专业顾问会尽快联系您详细说明优惠内容！

[顾客]: 超细纤维雕塑眉
[商家]: DIVA提供超细纤维雕塑眉服务，采用无创微刀雕刻技术，使用欧洲进口有机色乳，可保持3-5年自然眉型。操作前我们的专家会根据您的面部黄金比例进行专属眉形设计。

请问您目前所在区域，我们将为您推荐最近的分院地址！","[Customer]: Hello, do you have any current promotions?  
[Business]: DIVA Beauty Institute currently has these attractive offers:  
- Eyebrow embroidery from 599k  
- Eyeliner embroidery from 999k  
- 50% off bikini hair removal  

Could you share your phone number so our specialists can contact you for detailed promotion advice?  
[Customer]: Ultra-fine hair sculpting  
[Business]: DIVA offers ultra-fine eyebrow sculpting services using non-invasive Microblading technology with organic pigments imported from Europe, delivering natural-looking eyebrows lasting 3-5 years. Our experts will first design a shape that complements your facial golden ratio before implementation.  

Could you share your current residence area so we can guide you to the nearest branch?","[客户]: 你好，请问现在有什么促销活动吗？
[商家]: DIVA美容院衷心问候您！我们现正推出超值优惠活动：
- 纹眉套餐仅599k起  
- 美瞳线套餐999k起  
- 比基尼脱毛5折优惠

为帮您保留优惠名额，可以给小妹留下您的电话号码吗？我们的专业顾问会立即联系您详细解说哦！💖
[客户]: 微刀绣眉
[商家]: DIVA的微刀绣眉服务采用欧洲进口有机色乳及无创纳米技术，可塑造维持3-5年的自然眉型。我们的专家会根据您的脸型及运势特征，为您量身设计专属眉型。

为给您提供专属方案及优惠报价，小姐姐可以留个联系电话吗？💖","[Customer]: Hello, do you have any promotions available right now?  
[Business]: DIVA Beauty Institute warmly greets you! We currently have these attractive offers:  
- Eyebrow embroidery from 599k  
- Eyelid embroidery from 999k  
- 50% discount on bikini laser hair removal  

To reserve this offer for you, could you please share your phone number? Our specialists will contact you immediately for detailed consultation! 💖  
[Customer]: Microblading service  
[Business]: Our microblading service at DIVA uses organic ink imported from Europe and non-invasive nano technology, creating natural-looking brows that last 3-5 years. Our experts will design brow shapes tailored to your facial features and feng shui.  

For personalized consultation and special pricing, could you share your phone number with us? 💖"
